Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Shakib Al Hasan (BDESH),30.3,4,118,4,3.86,29.5,45.7,v Zimbabwe,Harare,25 Apr 2013,0,0,0
Shakib Al Hasan (BDESH),44,9,122,4,2.77,30.5,66,v Zimbabwe,Harare,4 Aug 2011,0,0,0
PP Ojha (INDIA),38,5,126,4,3.31,31.5,57,v Bangladesh,Dhaka,24 Jan 2010,0,0,0
MJ Santner (NZ),39,7,143,4,3.66,35.75,58.5,v India,Kolkata,30 Sep 2016,0,0,0
N Boje (SA),57,13,144,4,2.52,36,85.5,v West Indies,St John's,6 Apr 2001,0,0,0
Enamul Haque (BDESH),38,6,144,4,3.78,36,57,v Sri Lanka,Colombo (PSS),21 Jul 2002,0,0,0
HMRKB Herath (SL),56,10,144,4,2.57,36,84,v England,Lord's,9 Jun 2016,0,0,0
V Permaul (WI),39,4,146,4,3.74,36.5,58.5,v Bangladesh,Khulna,21 Nov 2012,0,0,0
PL Harris (SA),49.5,7,147,4,2.94,36.75,74.7,v Australia,Sydney,3 Jan 2009,0,0,0
MS Panesar (ENG),62.5,15,148,4,2.35,37,94.2,v West Indies,Port of Spain,6 Mar 2009,0,0,0
KA Maharaj (SA),58.3,15,150,4,2.56,37.5,87.7,v Australia,Perth,3 Nov 2016,0,0,0
MS Panesar (ENG),53,12,151,4,2.84,37.75,79.5,v New Zealand,Hamilton,5 Mar 2008,0,0,0
DL Vettori (NZ),50,9,154,4,3.08,38.5,75,v Australia,Brisbane,18 Nov 2004,0,0,0
CW Henderson (SA),79,21,177,4,2.24,44.25,118.5,v Zimbabwe,Harare,7 Sep 2001,0,0,0
HMRKB Herath (SL),48,5,188,4,3.91,47,72,v Pakistan,Karachi,28 Oct 2004,0,0,0
KA Maharaj (SA),54.1,9,192,4,3.54,48,81.2,v England,Lord's,6 Jul 2017,0,0,0
SC Williams (ZIM),66.5,5,208,4,3.11,52,100.2,v Sri Lanka,Colombo (RPS),14 Jul 2017,0,0,0
SM Katich (AUS),11.2,1,45,3,3.97,15,22.6,v South Africa,Durban,6 Mar 2009,0,0,0
RJ Peterson (SA),27,13,46,3,1.7,15.33,54,v Bangladesh,Dhaka,1 May 2003,0,0,0
MJ Santner (NZ),31,11,48,3,1.54,16,62,v Zimbabwe,Bulawayo,28 Jul 2016,0,0,0
GW Flower (ZIM),28,4,66,3,2.35,22,56,v Sri Lanka,Kandy,4 Jan 2002,0,0,0
ST Jayasuriya (SL),33.5,7,73,3,2.15,24.33,67.6,v England,Nottingham,2 Jun 2006,0,0,0
