overs,mdns,runs,wkts,econ,ave,strike_rate,opposition,ground,home_away,bowling_arm,pace_spin,player,country,year,balls,year1_mtchs_pld,year2_mtchs_pld,year3_mtchs_pld,year4_mtchs_pld,year5_mtchs_pld,year1_wkts_pm,year2_wkts_pm,year3_wkts_pm,year4_wkts_pm,year5_wkts_pm,bowler_agnst_oppo,oppo_agnst_bowl_typ,bowl_home_adv,ground_bowl_typ
32.5,3,112,0,3.41,1000,1000,South Africa,Bridgetown,1,1,1,FH Edwards,West Indies,2005,197,8,3,0,0,0,2.25,3,0,0,0,0.814814814814815,0.999937798566879,0.717948717948718,0.953857245854362
37.4,6,88,10,2.33,8.8,22.6,West Indies,Bridgetown,0,1,1,A Nel,South Africa,2005,226,4,2,1,0,0,3.5,5.5,2,0,0,1.42592592592593,0.967320261437909,0.238095238095238,0.953857245854362
14,6,37,1,2.64,37,84,West Indies,Bridgetown,0,1,1,JH Kallis,South Africa,2005,84,7,5,6,10,9,1.28571428571429,3,3.66666666666667,2.8,1.44444444444444,1.08684546615581,0.967320261437909,0.515245799626634,0.953857245854362
16,1,50,4,3.12,12.5,24,West Indies,Bridgetown,0,1,1,M Zondeki,South Africa,2005,96,0,0,0,0,0,0,0,0,0,0,1,0.967320261437909,0.5,0.953857245854362
28,4,101,3,3.6,33.66,56,West Indies,Bridgetown,0,1,1,M Ntini,South Africa,2005,168,11,7,5,8,5,3.27272727272727,5.71428571428571,4.6,2.25,3.2,1.39205155746509,0.967320261437909,0.379193205944798,0.953857245854362
12,1,46,0,3.83,1000,1000,Australia,Brisbane,0,1,0,MN Samuels,West Indies,2005,72,0,2,1,1,2,0,0.5,1,0,1,0.9,1.47712418300654,0.6,1.19489981785064
28,9,48,5,1.71,9.6,33.6,West Indies,Brisbane,1,1,0,SK Warne,Australia,2005,168,10,0,7,13,4,5.8,0,5.28571428571429,4.30769230769231,3.75,1,1.15904139433551,0.40785498489426,1.19489981785064
47,7,123,2,2.61,61.5,141,Australia,Brisbane,0,1,0,CH Gayle,West Indies,2005,282,5,2,2,1,0,1.4,0.5,0,0,0,0.625,1.47712418300654,0.714285714285714,1.19489981785064
21.3,1,94,2,4.37,47,64.5,Australia,Brisbane,0,1,1,FH Edwards,West Indies,2005,129,8,3,0,0,0,2.25,3,0,0,0,1,0.840114379084967,0.282051282051282,0.945184426229508
20,1,100,3,5,33.33,40,Australia,Brisbane,0,1,1,DBL Powell,West Indies,2005,120,0,0,2,0,0,0,0,3,0,0,1,0.840114379084967,0.5,0.945184426229508
14,0,73,1,5.21,73,84,Australia,Brisbane,0,1,1,JJC Lawson,West Indies,2005,84,2,3,2,0,0,4,4,2,0,0,1.16666666666667,0.840114379084967,0.428571428571429,0.945184426229508
37,4,128,4,3.45,32,55.5,Australia,Brisbane,0,1,1,CD Collymore,West Indies,2005,222,8,3,0,0,0,1,5.33333333333333,0,0,0,1,0.840114379084967,0.418604651162791,0.945184426229508
26,7,71,4,2.73,17.75,39,West Indies,Brisbane,1,0,1,NW Bracken,Australia,2005,156,1,2,0,0,0,0,2,0,0,0,1,1.02222222222222,0.5,0.945184426229508
29,8,89,6,3.06,14.83,29,West Indies,Brisbane,1,1,1,B Lee,Australia,2005,174,1,6,6,9,6,4,4.33333333333333,3.33333333333333,2.77777777777778,5.5,1.20987654320988,0.967320261437909,0.564814814814815,0.945184426229508
