Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
WPUJC Vaas (SL),35,9,93,3,2.65,31,70,v Zimbabwe,Kandy,4 Jan 2002,1,0,1
Z Khan (INDIA),31,7,96,3,3.09,32,62,v South Africa,Nagpur,6 Feb 2010,1,0,1
N Wagner (NZ),40,11,97,3,2.42,32.33,80,v England,Auckland,22 Mar 2013,1,0,1
RJ Sidebottom (ENG),39,11,101,3,2.58,33.66,78,v West Indies,Manchester,7 Jun 2007,1,0,1
N Wagner (NZ),22,1,102,3,4.63,34,44,v South Africa,Wellington,16 Mar 2017,1,0,1
N Wagner (NZ),25.2,2,104,3,4.1,34.66,50.6,v South Africa,Hamilton,25 Mar 2017,1,0,1
RJ Sidebottom (ENG),35,10,107,3,3.05,35.66,70,v South Africa,Birmingham,30 Jul 2008,1,0,1
NW Bracken (AUS),53,19,116,3,2.18,38.66,106,v India,Melbourne,26 Dec 2003,1,0,1
WPUJC Vaas (SL),30,4,118,3,3.93,39.33,60,v Bangladesh,Colombo (SSC),6 Sep 2001,1,0,1
JEC Franklin (NZ),33,5,118,3,3.57,39.33,66,v West Indies,Napier,19 Dec 2008,1,0,1
PT Collins (WI),44,10,125,3,2.84,41.66,88,v India,St John's,10 May 2002,1,0,1
Z Khan (INDIA),36.2,4,129,3,3.55,43,72.6,v New Zealand,Bengaluru,31 Aug 2012,1,0,1
N Wagner (NZ),41,6,136,3,3.31,45.33,82,v Sri Lanka,Christchurch,26 Dec 2014,1,0,1
IK Pathan (INDIA),50,12,138,3,2.76,46,100,v Pakistan,Mohali,8 Mar 2005,1,0,1
WPUJC Vaas (SL),45.2,12,139,3,3.06,46.33,90.6,v Zimbabwe,Colombo (SSC),27 Dec 2001,1,0,1
N Wagner (NZ),33.4,6,144,3,4.27,48,67.3,v India,Wellington,14 Feb 2014,1,0,1
N Wagner (NZ),43,5,159,3,3.69,53,86,v West Indies,Dunedin,3 Dec 2013,1,0,1
TA Boult (NZ),48,6,168,3,3.5,56,96,v Australia,Christchurch,20 Feb 2016,1,0,1
DNT Zoysa (SL),13,3,34,2,2.61,17,39,v West Indies,Kandy,21 Nov 2001,1,0,1
G Wijekoon (SL),10,1,49,2,4.9,24.5,30,v West Indies,Colombo (SSC),13 Jul 2005,1,0,1
TA Boult (NZ),20,2,51,2,2.55,25.5,60,v Sri Lanka,Hamilton,18 Dec 2015,1,0,1
UWMBCA Welegedara (SL),14,1,59,2,4.21,29.5,42,v England,Galle,18 Dec 2007,1,0,1
PDRL Perera (SL),18,3,60,2,3.33,30,54,v South Africa,Colombo (SSC),6 Aug 2000,1,0,1
N Wagner (NZ),17,2,67,2,3.94,33.5,51,v West Indies,Wellington,11 Dec 2013,1,0,1
WPUJC Vaas (SL),35,13,70,2,2,35,105,v South Africa,Galle,4 Aug 2004,1,0,1
Z Khan (INDIA),28.4,6,70,2,2.44,35,86,v New Zealand,Ahmedabad,4 Nov 2010,1,0,1
IK Pathan (INDIA),28,9,71,2,2.53,35.5,84,v England,Mohali,9 Mar 2006,1,0,1
Manjural Islam (BDESH),26,5,74,2,2.84,37,78,v Zimbabwe,Dhaka,8 Nov 2001,1,0,1
Z Khan (INDIA),22,4,76,2,3.45,38,66,v Zimbabwe,Delhi,28 Feb 2002,1,0,1
MA Starc (AUS),30,10,77,2,2.56,38.5,90,v New Zealand,Hobart,9 Dec 2011,1,0,1
PT Collins (WI),29,5,78,2,2.68,39,87,v South Africa,Port of Spain,8 Apr 2005,1,0,1
CJ Anderson (NZ),18,0,79,2,4.38,39.5,54,v Australia,Wellington,12 Feb 2016,1,0,1
TA Boult (NZ),50,16,81,2,1.62,40.5,150,v England,Dunedin,6 Mar 2013,1,0,1
NW Bracken (AUS),31,8,83,2,2.67,41.5,93,v South Africa,Perth,16 Dec 2005,1,0,1
MVT Fernando (SL),26,3,87,2,3.34,43.5,78,v India,Pallekele,12 Aug 2017,1,0,1
Z Khan (INDIA),28.4,6,89,2,3.1,44.5,86,v Australia,Kolkata,11 Mar 2001,1,0,1
IK Pathan (INDIA),23,6,90,2,3.91,45,69,v Pakistan,Kolkata,16 Mar 2005,1,0,1
MA Starc (AUS),20,1,90,2,4.5,45,60,v New Zealand,Brisbane,1 Dec 2011,1,0,1
Manjural Islam (BDESH),35,9,95,2,2.71,47.5,105,v Pakistan,Chittagong,16 Jan 2002,1,0,1
PT Collins (WI),41,15,95,2,2.31,47.5,123,v India,Kingston,30 Jun 2006,1,0,1
DNT Zoysa (SL),31,5,100,2,3.22,50,93,v West Indies,Colombo (SSC),29 Nov 2001,1,0,1
IK Pathan (INDIA),33,8,100,2,3.03,50,99,v Australia,Bengaluru,6 Oct 2004,1,0,1
TA Boult (NZ),33,6,101,2,3.06,50.5,99,v Australia,Wellington,12 Feb 2016,1,0,1
JEC Franklin (NZ),26,5,102,2,3.92,51,78,v Australia,Christchurch,10 Mar 2005,1,0,1
Z Khan (INDIA),36,6,109,2,3.02,54.5,108,v Sri Lanka,Ahmedabad,16 Nov 2009,1,0,1
BC Strang (ZIM),45,15,111,2,2.46,55.5,135,v West Indies,Bulawayo,19 Jul 2001,1,0,1
UWMBCA Welegedara (SL),21,3,112,2,5.33,56,63,v India,Galle,18 Jul 2010,1,0,1
JEC Franklin (NZ),39,8,114,2,2.92,57,117,v Pakistan,Auckland,8 Mar 2001,1,0,1
Z Khan (INDIA),28,5,114,2,4.07,57,84,v Sri Lanka,Kanpur,24 Nov 2009,1,0,1
TA Boult (NZ),30,4,117,2,3.9,58.5,90,v England,Wellington,14 Mar 2013,1,0,1
N Wagner (NZ),33,5,122,2,3.69,61,99,v England,Wellington,14 Mar 2013,1,0,1
Manjural Islam (BDESH),33,4,124,2,3.75,62,99,v Pakistan,Dhaka,9 Jan 2002,1,0,1
WPUJC Vaas (SL),48,10,124,2,2.58,62,144,v England,Colombo (SSC),9 Dec 2007,1,0,1
Z Khan (INDIA),38,8,126,2,3.31,63,114,v Zimbabwe,Nagpur,25 Nov 2000,1,0,1
DE Bollinger (AUS),44,9,131,2,2.97,65.5,132,v South Africa,Sydney,3 Jan 2009,1,0,1
MG Johnson (AUS),29,2,134,2,4.62,67,87,v England,Melbourne,26 Dec 2010,1,0,1
MA Starc (AUS),43,9,134,2,3.11,67,129,v Pakistan,Sydney,3 Jan 2017,1,0,1
MG Johnson (AUS),50,7,163,2,3.26,81.5,150,v South Africa,Melbourne,26 Dec 2008,1,0,1
MG Johnson (AUS),48,6,181,2,3.77,90.5,144,v India,Sydney,2 Jan 2008,1,0,1
WPUJC Vaas (SL),14,6,17,1,1.21,17,84,v South Africa,Kandy,30 Jul 2000,1,0,1
CJ Anderson (NZ),14,2,29,1,2.07,29,84,v West Indies,Dunedin,3 Dec 2013,1,0,1
CJ Anderson (NZ),11,1,29,1,2.63,29,66,v West Indies,Wellington,11 Dec 2013,1,0,1
WPUJC Vaas (SL),10,4,31,1,3.1,31,60,v Bangladesh,Colombo (RPS),12 Sep 2005,1,0,1
Manjural Islam (BDESH),21,11,34,1,1.61,34,126,v West Indies,Chittagong,16 Dec 2002,1,0,1
BP Nash (WI),11,2,34,1,3.09,34,66,v England,St John's,15 Feb 2009,1,0,1
IK Pathan (INDIA),10,1,36,1,3.6,36,60,v Sri Lanka,Ahmedabad,18 Dec 2005,1,0,1
WPUJC Vaas (SL),12,3,36,1,3,36,72,v Bangladesh,Colombo (SSC),25 Jun 2007,1,0,1
Syed Rasel (BDESH),20,8,50,1,2.5,50,120,v Sri Lanka,Bogra,8 Mar 2006,1,0,1
Z Khan (INDIA),15,5,57,1,3.8,57,90,v Australia,Chennai,18 Mar 2001,1,0,1
UWMBCA Welegedara (SL),15,5,61,1,4.06,61,90,v Australia,Galle,31 Aug 2011,1,0,1
Ranjan Das (BDESH),19,3,64,1,3.36,64,114,v India,Dhaka,10 Nov 2000,1,0,1
AD Mullally (ENG),23,8,65,1,2.82,65,138,v Australia,Leeds,16 Aug 2001,1,0,1
A Nehra (INDIA),23,9,66,1,2.86,66,138,v West Indies,Kolkata,30 Oct 2002,1,0,1
DE Bollinger (AUS),28,10,66,1,2.35,66,168,v Pakistan,Hobart,14 Jan 2010,1,0,1
CJ Anderson (NZ),22,2,66,1,3,66,132,v Australia,Christchurch,20 Feb 2016,1,0,1
N Wagner (NZ),21,4,67,1,3.19,67,126,v West Indies,Hamilton,19 Dec 2013,1,0,1
Z Khan (INDIA),28,8,68,1,2.42,68,168,v Australia,Nagpur,6 Nov 2008,1,0,1
Wasim Akram (PAK),26,6,69,1,2.65,69,156,v England,Faisalabad,29 Nov 2000,1,0,1
WPUJC Vaas (SL),29,8,73,1,2.51,73,174,v New Zealand,Colombo (PSS),25 Apr 2003,1,0,1
UWMBCA Welegedara (SL),23,3,74,1,3.21,74,138,v Australia,Pallekele,8 Sep 2011,1,0,1
Syed Rasel (BDESH),18,1,75,1,4.16,75,108,v Sri Lanka,Chittagong,28 Feb 2006,1,0,1
RJ Sidebottom (ENG),36,11,75,1,2.08,75,216,v India,Nottingham,27 Jul 2007,1,0,1
