Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
MA Starc (AUS),12.2,4,29,2,2.35,14.5,37,v West Indies,Roseau,23 Apr 2012,0,0,1
CJ Anderson (NZ),17,7,34,2,2,17,51,v Bangladesh,Chittagong,9 Oct 2013,0,0,1
AD Mullally (ENG),24,10,42,2,1.75,21,72,v South Africa,Centurion,14 Jan 2000,0,0,1
TA Boult (NZ),16.2,3,46,2,2.81,23,49,v Sri Lanka,Galle,17 Nov 2012,0,0,1
Z Khan (INDIA),21,6,49,2,2.33,24.5,63,v Bangladesh,Dhaka,10 Nov 2000,0,0,1
DE Bollinger (AUS),16,2,49,2,3.06,24.5,48,v India,Mohali,1 Oct 2010,0,0,1
TA Boult (NZ),24,9,50,2,2.08,25,72,v Bangladesh,Chittagong,9 Oct 2013,0,0,1
DNT Zoysa (SL),21,3,54,2,2.57,27,63,v Pakistan,Lahore,6 Mar 2002,0,0,1
Mohammad Amir (PAK),42,20,54,2,1.28,27,126,v West Indies,Roseau,10 May 2017,0,0,1
MG Johnson (AUS),19,6,56,2,2.94,28,57,v Sri Lanka,Galle,31 Aug 2011,0,0,1
Wahab Riaz (PAK),20,2,57,2,2.85,28.5,60,v West Indies,Providence,12 May 2011,0,0,1
WD Parnell (SA),13,2,58,2,4.46,29,39,v India,Nagpur,6 Feb 2010,0,0,1
A Nehra (INDIA),21,4,60,2,2.85,30,63,v Pakistan,Rawalpindi,13 Apr 2004,0,0,1
Manjural Islam (BDESH),18,5,66,2,3.66,33,54,v New Zealand,Hamilton,18 Dec 2001,0,0,1
MG Johnson (AUS),16,2,66,2,4.12,33,48,v England,Birmingham,29 Jul 2015,0,0,1
Syed Rasel (BDESH),19.2,2,67,2,3.46,33.5,58,v Sri Lanka,Colombo (RPS),12 Sep 2005,0,0,1
SB O'Connor (NZ),26.4,8,68,2,2.55,34,80,v South Africa,Port Elizabeth,30 Nov 2000,0,0,1
Mustafizur Rahman (BDESH),25,5,68,2,2.72,34,75,v Sri Lanka,Galle,7 Mar 2017,0,0,1
