Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
NM Lyon (AUS),49.1,11,105,6,2.13,17.5,49.1,v England,Adelaide,2 Dec 2017,1,1,0
A Kumble (INDIA),49.3,13,117,6,2.36,19.5,49.5,v West Indies,Chennai,17 Oct 2002,1,1,0
NM Lyon (AUS),39.2,6,117,6,2.97,19.5,39.3,v England,Melbourne,26 Dec 2013,1,1,0
A Kumble (INDIA),50,13,118,6,2.36,19.66,50,v South Africa,Mumbai,24 Feb 2000,1,1,0
NM Hauritz (AUS),50.4,15,126,6,2.48,21,50.6,v Pakistan,Hobart,14 Jan 2010,1,1,0
OAC Banks (WI),44,7,127,6,2.88,21.16,44,v Bangladesh,Kingston,4 Jun 2004,1,1,0
NM Hauritz (AUS),28,4,130,6,4.64,21.66,28,v Pakistan,Sydney,3 Jan 2010,1,1,0
Danish Kaneria (PAK),61,18,131,6,2.14,21.83,61,v West Indies,Karachi,27 Nov 2006,1,1,0
Naimur Rahman (BDESH),44.3,9,132,6,2.96,22,44.5,v India,Dhaka,10 Nov 2000,1,1,0
M Muralitharan (SL),59.4,17,135,6,2.26,22.5,59.6,v Pakistan,Colombo (SSC),26 Mar 2006,1,1,0
SK Warne (AUS),49,14,136,6,2.77,22.66,49,v South Africa,Melbourne,26 Dec 2005,1,1,0
A Kumble (INDIA),68.4,15,143,6,2.08,23.83,68.6,v South Africa,Bengaluru,2 Mar 2000,1,1,0
Danish Kaneria (PAK),59,18,143,6,2.42,23.83,59,v Bangladesh,Karachi,20 Aug 2003,1,1,0
Harbhajan Singh (INDIA),65.5,15,149,6,2.26,24.83,65.8,v England,Ahmedabad,11 Dec 2001,1,1,0
JS Patel (NZ),71,28,151,6,2.12,25.16,71,v West Indies,Napier,19 Dec 2008,1,1,0
R Ashwin (INDIA),46,6,151,6,3.28,25.16,46,v New Zealand,Bengaluru,31 Aug 2012,1,1,0
Harbhajan Singh (INDIA),51.5,9,152,6,2.93,25.33,51.8,v Pakistan,Bengaluru,24 Mar 2005,1,1,0
