Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
DL Vettori (NZ),24,6,70,4,2.91,17.5,36,v Bangladesh,Dunedin,4 Jan 2008,1,0,0
N Boje (SA),34,13,71,4,2.08,17.75,51,v England,Cape Town,2 Jan 2005,1,0,0
PL Harris (SA),33.2,8,71,4,2.13,17.75,50,v Pakistan,Centurion,11 Jan 2007,1,0,0
PP Ojha (INDIA),38.3,16,73,4,1.89,18.25,57.7,v Sri Lanka,Kanpur,24 Nov 2009,1,0,0
N Boje (SA),43,16,74,4,1.72,18.5,64.5,v Sri Lanka,Durban,26 Dec 2000,1,0,0
PR Adams (SA),40.3,14,80,4,1.97,20,60.7,v England,Cape Town,2 Jan 2000,1,0,0
RA Jadeja (INDIA),32,7,81,4,2.53,20.25,48,v New Zealand,Kolkata,30 Sep 2016,1,0,0
RA Jadeja (INDIA),33,8,81,4,2.45,20.25,49.5,v Australia,Dharamsala,25 Mar 2017,1,0,0
Taijul Islam (BDESH),39.2,13,88,4,2.23,22,59,v England,Chittagong,20 Oct 2016,1,0,0
MJ Santner (NZ),43.1,14,90,4,2.08,22.5,64.7,v Sri Lanka,Dunedin,10 Dec 2015,1,0,0
DL Vettori (NZ),42,14,95,4,2.26,23.75,63,v Bangladesh,Wellington,26 Dec 2001,1,0,0
ST Jayasuriya (SL),50.1,16,98,4,1.95,24.5,75.2,v England,Kandy,7 Mar 2001,1,0,0
MS Panesar (ENG),33.5,8,101,4,2.98,25.25,50.7,v India,Nottingham,27 Jul 2007,1,0,0
LA Dawson (ENG),26.4,6,101,4,3.78,25.25,40,v South Africa,Lord's,6 Jul 2017,1,0,0
SNJ O'Keefe (AUS),37,7,103,4,2.78,25.75,55.5,v Pakistan,Sydney,3 Jan 2017,1,0,0
RW Price (ZIM),60.5,26,104,4,1.7,26,91.2,v Pakistan,Bulawayo,1 Sep 2011,1,0,0
Shakib Al Hasan (BDESH),24.3,1,105,4,4.28,26.25,36.7,v India,Fatullah,10 Jun 2015,1,0,0
N Boje (SA),26.2,5,106,4,4.02,26.5,39.5,v Zimbabwe,Cape Town,4 Mar 2005,1,0,0
PP Ojha (INDIA),53,14,107,4,2.01,26.75,79.5,v New Zealand,Ahmedabad,4 Nov 2010,1,0,0
Mohammad Rafique (BDESH),52.5,12,109,4,2.06,27.25,79.2,v South Africa,Dhaka,22 Feb 2008,1,0,0
DL Vettori (NZ),41,8,115,4,2.8,28.75,61.5,v Pakistan,Dunedin,24 Nov 2009,1,0,0
RW Price (ZIM),51.3,14,116,4,2.25,29,77.2,v Pakistan,Bulawayo,16 Nov 2002,1,0,0
